AJ;1;01. Atualizacao                             ;aj0101  ;A.  Atualizacao de Informacoes Gerais       ;GERAL                                                                                                                                                                                              ;ADM;1
AJ;1;01. Atualizacao                             ;aj0102  ;B.  Documentacao dos Sistemas               ;GERAL                                                                                                                                                                                              ;ADM;2
AJ;1;01. Atualizacao                             ;aj0103  ;C.  Documentacao das Rotinas                ;GERAL                                                                                                                                                                                              ;ADM;3
AJ;1;01. Atualizacao                             ;aj0104  ;D.  Documentacao dos Campos                 ;GERAL                                                                                                                                                                                              ;ADM;4
AJ;1;01. Atualizacao                             ;aj0105  ;E.  Documentacao dos Programas              ;GERAL                                                                                                                                                                                              ;ADM;5
AJ;1;01. Atualizacao                             ;aj0106  ;F.  Inclusao de Usuarios                    ;GERAL                                                                                                                                                                                              ;ADM;6
AJ;1;01. Atualizacao                             ;aj0107  ;G.  Grupos de Usuarios                      ;GERAL                                                                                                                                                                                              ;ADM;7
AJ;1;01. Atualizacao                             ;aj0108  ;H.  Referencia Programa x Campo             ;GERAL                                                                                                                                                                                              ;ADM;8
AJ;1;01. Atualizacao                             ;aj0109  ;I.  Comandos de Impressao - Sup. Progress   ;GERAL                                                                                                                                                                                              ;ADM;9
AJ;1;01. Atualizacao                             ;aj0110  ;J.  Permissoes dos Arquivos                 ;GERAL                                                                                                                                                                                              ;ADM;10
AJ;1;01. Atualizacao                             ;aj0112  ;K.  Cadastro de Impressoras - Sup. Progress ;GERAL                                                                                                                                                                                              ;ADM;11
AJ;1;01. Atualizacao                             ;aj0113  ;L.  Usuarios x Impressora                   ;GERAL                                                                                                                                                                                              ;ADM;12
AJ;1;01. Atualizacao                             ;ajdesc  ;M.  Descricao de Programas que estouram os 6;GERAL                                                                                                                                                                                              ;ADM;13
AJ;2;02. Listagens                               ;aj0201  ;A.  Listagem de Informacoes Gerais          ;GERAL                                                                                                                                                                                              ;ADM;14
AJ;2;02. Listagens                               ;aj0202  ;B.  Listagem de Sistema                     ;GERAL                                                                                                                                                                                              ;ADM;15
AJ;2;02. Listagens                               ;aj0203  ;C.  Listagem de Rotinas                     ;GERAL                                                                                                                                                                                              ;ADM;16
AJ;2;02. Listagens                               ;aj0204  ;D.  Listagem de Campos                      ;GERAL                                                                                                                                                                                              ;ADM;17
AJ;2;02. Listagens                               ;aj0205  ;E.  Listagem de Programas                   ;GERAL                                                                                                                                                                                              ;ADM;18
AJ;2;02. Listagens                               ;aj0206  ;F.  Listagem de Usuarios                    ;GERAL                                                                                                                                                                                              ;ADM;19
AJ;2;02. Listagens                               ;aj0207  ;G.  Listagem de Usuarios e Permissoes       ;GERAL                                                                                                                                                                                              ;ADM;20
AJ;2;02. Listagens                               ;aj0208  ;H.  Listagem de Programa x Campo            ;GERAL                                                                                                                                                                                              ;ADM;21
AJ;2;02. Listagens                               ;aj0209  ;I.  Listagem de Comandos de Impressao       ;GERAL                                                                                                                                                                                              ;ADM;22
AJ;2;02. Listagens                               ;aj0212  ;J.  Listagem de Impressoras                 ;GERAL                                                                                                                                                                                              ;ADM;23
AJ;3;03. Consultas                               ;aj0301  ;A.  Consulta de Sistema                     ;GERAL                                                                                                                                                                                              ;ADM;24
AJ;3;03. Consultas                               ;aj0302  ;B.  Consulta de Rotina                      ;GERAL                                                                                                                                                                                              ;ADM;25
AJ;3;03. Consultas                               ;aj0303  ;C.  Consulta de Programa                    ;GERAL                                                                                                                                                                                              ;ADM;26
AJ;3;03. Consultas                               ;aj0304  ;D.  Consulta de Campo                       ;GERAL                                                                                                                                                                                              ;ADM;27
AJ;4;04. Impressao do Manual                     ;aj0401  ;A.  Manual do Sistema                       ;GERAL                                                                                                                                                                                              ;ADM;28
AJ;4;04. Impressao do Manual                     ;aj0402  ;B.  Manual da Rotina                        ;GERAL                                                                                                                                                                                              ;ADM;29
AJ;4;04. Impressao do Manual                     ;aj0403  ;C.  Manual do Programa                      ;GERAL                                                                                                                                                                                              ;ADM;30
AJ;4;04. Impressao do Manual                     ;aj0404  ;D.  Manual Completo                         ;GERAL                                                                                                                                                                                              ;ADM;31
AJ;4;04. Impressao do Manual                     ;aj0405  ;E.  Impressao das Introducoes do Sistema    ;GERAL                                                                                                                                                                                              ;ADM;32
AJ;5;05. Exportacao do Manual                    ;aj0501  ;A.  Manual do Sistema                       ;GERAL                                                                                                                                                                                              ;ADM;33
AJ;5;05. Exportacao do Manual                    ;aj0502  ;B.  Manual da Rotina                        ;GERAL                                                                                                                                                                                              ;ADM;34
AJ;5;05. Exportacao do Manual                    ;aj0503  ;C.  Manual do Programa                      ;GERAL                                                                                                                                                                                              ;ADM;35
AJ;5;05. Exportacao do Manual                    ;aj0504  ;D.  Manual do Campo                         ;GERAL                                                                                                                                                                                              ;ADM;36
AJ;5;05. Exportacao do Manual                    ;aj0505  ;E.  Manual Completo do Sistema              ;GERAL                                                                                                                                                                                              ;ADM;37
AJ;5;05. Exportacao do Manual                    ;aj0505ce;F.  Exportacao do Manual Estoque            ;GERAL                                                                                                                                                                                              ;ADM;38
AJ;6;06. Importacao do Manual                    ;aj0601  ;A.  Importacao do Manual/Menus              ;GERAL                                                                                                                                                                                              ;ADM;39
