TIPO;CODIGO;NOME;NOVO EMITENTE;ARQUIVO ORIGEM
"cliente";28902;"LC FELICE CONF DE ROUPAS ME";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";1;" IMA TECIDOS DA MODA LTDA.";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";28890;"THAIS LOPES DE CASTRO 11458759636";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";28888;"RYJOR CONF DE ROUPAS LTDA ME";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";93;"CONFECCOES DEL HOMO LTDA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";113;"CONF LASALA LTDA EPP";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";148;"BAGAGE CONF LTDA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";189;"MR TEC LTDA EPP";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";28865;"OUTRA VERSAO CONFECCAO LTDA ME";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";28854;"ANYWAY IND E COM DE CONF LTDA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";266;"YELLOW CONFECCOES LTDA EPP";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";281;"DIVINA PELE CONF EIRELI EPP";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";285;"EMPORIO DE SEDAS SA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";28835;"I C PIMENTEL";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";362;"BP COMASA COMERCIO DE TECIDOS LTDA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";363;"CONF TESTONI LTDA ME";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";388;"EDIONE COM DE TEC LTDA EPP";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";406;"TEC VILAS BOAS LTDA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";414;" CHIVI CONF LTDA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";438;"SUPRAMED IND E COM EIRELI ME";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";443;" ANTONIA DA COSTA MELO";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";494;"IDILIO INTIMO INDUSTRIA & COM LTDA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";501;"DAVID MARQUES SILVA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";502;"TYRONI DE OLIVEIRA VARGAS ME";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";507;"EURIDES TOMAZ NUNES ME";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";510;"CONF TRIPULO LTDA";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";524;"REPENIQUE IND COM ROUPAS LTDA ME";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";526;"CONF MIKASA IND E COM LTDA EPP";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
"cliente";529;"TAPAJOS TEC LTDA ME";no;"t:\especificos\integracao\5\2018-3-22-14-16-32-plano_emitentes.csv"
